chr	start	end	strand	itr_id	gene	product	protein_id
NC_000913.3	3640862	3642331	+	3431	rsmJ	dipeptide and tripeptide permease B	ref|NP_417953.1|
NC_000913.3	3642380	3643132	-	3432	prlC	16S rRNA m(2)G1516 methyltransferase, SAM-dependent	ref|NP_417954.1|
NC_000913.3	3643140	3645182	-	3433	rlmJ	oligopeptidase A	ref|NP_417955.1|
NC_000913.3	3645385	3646227	+	3434	gor	23S rRNA m(6)A2030 methyltransferase, SAM-dependent	ref|NP_417956.1|
NC_000913.3	3646299	3647651	+	3435	dinQ	glutathione oxidoreductase	ref|NP_417957.1|
NC_000913.3	3647705	3647788	-	3436	arsR	antisense sRNA antitoxin for the DinQ toxin	ref|YP_001165328.2|
NC_000913.3	3648528	3648881	+	3437	arsB	arsenical resistance operon transcriptional repressor; autorepressor	ref|NP_417958.1|
NC_000913.3	3648935	3650224	+	3438	arsC	arsenite/antimonite transporter	ref|NP_417959.4|
NC_000913.3	3650237	3650662	+	3439	yhiS	arsenate reductase	ref|NP_417960.1|
NC_000913.3	3651291	3652031	+	3440	insH1	NA	NA
NC_000913.3	3652182	3653198	-	3441	slp	IS5 transposase and trans-activator	ref|NP_417962.1|
NC_000913.3	3653961	3654527	+	3442	dctR	outer membrane lipoprotein	ref|NP_417963.4|
NC_000913.3	3654683	3655213	+	3443	yhiD	Putative LuxR family repressor for dicarboxylate transport	ref|NP_417964.1|
NC_000913.3	3655255	3655902	-	3444	hdeB	putative Mg(2+) transport ATPase, inner membrane protein	ref|NP_417965.1|
NC_000913.3	3655966	3656292	-	3445	hdeA	acid-resistance protein	ref|NP_417966.4|
NC_000913.3	3656408	3656740	-	3446	hdeD	stress response protein acid-resistance protein	ref|NP_417967.1|
NC_000913.3	3656995	3657567	+	3447	gadE	antisense sRNA ArrS, function unknown	ref|NP_417968.1|
NC_000913.3	3658366	3658893	+	3448	mdtE	gad regulon transcriptional activator	ref|NP_417969.1|
NC_000913.3	3659232	3660389	+	3449	mdtF	anaerobic multidrug efflux transporter, ArcA-regulated	ref|NP_417970.1|
NC_000913.3	3660414	3663527	+	3450	gadW	anaerobic multidrug efflux transporter, ArcA-regulated	ref|NP_417971.1|
NC_000913.3	3663890	3664618	-	3451	gadX	sRNA antisense regulator of gadAB transcriptional activator GadX mRNA, Hfq-dependent	ref|NP_417972.1|
NC_000913.3	3664986	3665810	-	3452	gadA	acid resistance regulon transcriptional activator; autoactivator	ref|NP_417973.1|
NC_000913.3	3666180	3667580	-	3453	yhjA	glutamate decarboxylase A, PLP-dependent	ref|NP_417974.1|
NC_000913.3	3667791	3669188	-	3454	treF	putative cytochrome C peroxidase	ref|NP_417975.1|
NC_000913.3	3669592	3671241	+	3455	yhjB	cytoplasmic trehalase	ref|NP_417976.1|
NC_000913.3	3671292	3671894	-	3456	yhjC	putative DNA-binding transcriptional response regulator	ref|NP_417977.1|
NC_000913.3	3672414	3673313	+	3457	yhjD	LysR family putative transcriptional regulator	ref|NP_417978.2|
NC_000913.3	3673362	3674375	+	3458	yhjE	inner membrane putative BrbK family alternate lipid exporter	ref|NP_417979.1|
NC_000913.3	3674786	3676108	+	3459	yhjG	putative MFS transporter; membrane protein	ref|NP_417980.1|
NC_000913.3	3676290	3678350	-	3460	yhjH	putative inner membrane-anchored periplasmic AsmA family protein	ref|NP_417981.2|
NC_000913.3	3678420	3679187	-	3461	kdgK	cyclic-di-GMP phosphodiesterase, FlhDC-regulated	ref|NP_417982.2|
NC_000913.3	3679419	3680348	+	3462	yhjJ	2-dehydro-3-deoxygluconokinase	ref|NP_417983.2|
NC_000913.3	3680444	3681940	-	3463	dctA	putative periplasmic M16 family chaperone	ref|NP_417984.1|
NC_000913.3	3682161	3683447	-	3464	yhjK	C4-dicarboxylic acid, orotate and citrate transporter	ref|NP_417985.1|
NC_000913.3	3683630	3685618	-	3465	bcsC	cyclic-di-GMP phosphodiesterase	ref|NP_417986.4|
NC_000913.3	3685700	3689173	-	3466	bcsZ	cellulose synthase subunit	ref|YP_026226.4|
NC_000913.3	3689155	3690261	-	3467	bcsB	endo-1,4-D-glucanase	ref|NP_417988.1|
NC_000913.3	3690268	3692607	-	3468	bcsA	regulator of cellulose synthase, cyclic di-GMP binding	ref|NP_417989.1|
NC_000913.3	3692618	3695236	-	3469	bcsQ	cellulose synthase, catalytic subunit	ref|NP_417990.4|
NC_000913.3	3695233	3695985	-	3470	yhjR	NA	NA
NC_000913.3	3695997	3696185	-	3471	bcsE	DUF2629 family protein	ref|NP_417992.1|
NC_000913.3	3696458	3698029	+	3472	bcsF	cellulose production protein	ref|NP_417993.1|
NC_000913.3	3698026	3698217	+	3473	bcsG	DUF2636 family cellulose production small membrane protein	ref|NP_417994.2|
NC_000913.3	3698214	3699893	+	3474	ldrD	DUF3260 family cellulose production inner membrane protein	ref|NP_417995.1|
NC_000913.3	3699980	3700087	-	3475	yhjV	sRNA antisense regulator affects LdrD translation; proposed addiction module in LDR-D repeat, with toxic peptide LdrD	ref|YP_026227.1|
NC_000913.3	3700563	3701834	+	3476	dppF	putative transporter	ref|NP_417996.1|
NC_000913.3	3701864	3702868	-	3477	dppD	dipeptide/heme ABC transporter ATPas	ref|NP_417997.1|
NC_000913.3	3702865	3703848	-	3478	dppC	dipeptide/heme ABC transporter ATPas	ref|NP_417998.1|
NC_000913.3	3703859	3704761	-	3479	dppB	dipeptide/heme ABC transporter permease	ref|NP_417999.1|
NC_000913.3	3704771	3705790	-	3480	dppA	dipeptide/heme ABC transporter permease	ref|NP_418000.1|
NC_000913.3	3706098	3707705	-	3481	eptB	tRNA-Pro	ref|NP_418001.1|
NC_000913.3	3708784	3710475	-	3482	yhjX	KDO phosphoethanolamine transferase, Ca(2+)-inducible	ref|NP_418002.2|
NC_000913.3	3710799	3712007	-	3483	yhjY	pyruvate-inducible inner membrane protein, putative transporter	ref|NP_418003.1|
NC_000913.3	3712236	3712934	-	3484	tag	autotransporter beta-domain protein	ref|NP_418004.4|
NC_000913.3	3713092	3713655	+	3485	yiaC	3-methyl-adenine DNA glycosylase I, constitutive	ref|NP_418005.1|
NC_000913.3	3713652	3714092	+	3486	bisC	GNAT family putative N-acetyltransferase	ref|NP_418006.1|
NC_000913.3	3714061	3716394	-	3487	yiaD	biotin sulfoxide reductase	ref|NP_418007.3|
NC_000913.3	3716547	3717206	+	3488	ghrB	multicopy suppressor of bamB; outer membrane lipoprotein	ref|YP_026228.1|
NC_000913.3	3717310	3718284	+	3489	yiaF	glyoxylate/hydroxypyruvate reductase B	ref|NP_418009.2|
NC_000913.3	3718334	3719044	-	3490	yiaG	barrier effect co-colonization resistance factor; DUF3053 family lipoprotein	ref|NP_418010.2|
NC_000913.3	3719478	3719768	+	3491	cspA	HTH_CROC1 family putative transcriptional regulator	ref|NP_418011.1|
NC_000913.3	3720049	3720261	+	3492	mokA	RNA chaperone and antiterminator, cold-inducible	ref|NP_418012.1|
NC_000913.3	3720448	3720632	-	3493	hokA	NA	NA
NC_000913.3	3720448	3720600	-	3494	insJ	toxic polypeptide, small	ref|YP_026229.1|
NC_000913.3	3720680	3721201	+	3495	insK	IS150 transposase A	ref|NP_418014.1|
NC_000913.3	3721198	3722049	+	3496	glyS	IS150 transposase B	ref|NP_418015.1|
NC_000913.3	3722328	3724397	-	3497	glyQ	glycine tRNA synthetase, beta subunit	ref|NP_418016.1|
NC_000913.3	3724407	3725318	-	3498	ysaB	glycine tRNA synthetase, alpha subunit	ref|NP_418017.1|
NC_000913.3	3725413	3725712	-	3499	wecH	uncharacterized protein	ref|YP_588469.1|
NC_000913.3	3725887	3726882	+	3500	yiaA	O-acetyltransferase for enterobacterial common antigen (ECA)	ref|NP_418018.1|
NC_000913.3	3726924	3727361	-	3501	yiaB	YiaAB family inner membrane protein, tandem domains	ref|NP_418019.4|
NC_000913.3	3727407	3727748	-	3502	xylB	YiaAB family inner membrane protein	ref|NP_418020.2|
NC_000913.3	3727917	3729371	-	3503	xylA	xylulokinase	ref|NP_418021.1|
NC_000913.3	3729443	3730765	-	3504	xylF	D-xylose isomerase	ref|NP_418022.1|
NC_000913.3	3731131	3732123	+	3505	xylG	D-xylose transporter subunit	ref|NP_418023.1|
NC_000913.3	3732201	3733742	+	3506	xylH	D-xylose ABC transporter dual domain ATPase	ref|NP_418024.1|
NC_000913.3	3733720	3734901	+	3507	xylR	D-xylose ABC transporter permease	ref|NP_418025.1|
NC_000913.3	3734979	3736157	+	3508	bax	xylose divergent operon transcriptional activator	ref|NP_418026.1|
NC_000913.3	3736353	3737177	-	3509	malS	putative glucosaminidase	ref|YP_026230.1|
NC_000913.3	3737497	3739527	+	3510	avtA	alpha-amylase	ref|NP_418028.1|
NC_000913.3	3739705	3740958	+	3511	ysaA	valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase	ref|YP_026231.1|
NC_000913.3	3741109	3741582	-	3512	yiaJ	putative hydrogenase, 4Fe-4S ferredoxin-type component	ref|NP_418030.1|
NC_000913.3	3741684	3742532	-	3513	yiaK	transcriptional repressor for the yiaKLMNO-lyxK-sgbHUE operon	ref|NP_418031.1|
NC_000913.3	3742733	3743731	+	3514	yiaL	2,3-diketo-L-gulonate reductase, NADH-dependent	ref|NP_418032.1|
NC_000913.3	3743743	3744210	+	3515	yiaM	DUF386 family protein	ref|NP_418033.1|
NC_000913.3	3744328	3744801	+	3516	yiaN	2,3-diketo-L-gulonate TRAP transporter small permease protein	ref|NP_418034.1|
NC_000913.3	3744804	3746081	+	3517	yiaO	2,3-diketo-L-gulonate TRAP transporter large permease protein	ref|YP_026232.1|
NC_000913.3	3746094	3747080	+	3518	lyxK	2,3-diketo-L-gulonate-binding periplasmic protein	ref|NP_418036.1|
NC_000913.3	3747084	3748580	+	3519	sgbH	L-xylulose kinase	ref|NP_418037.1|
NC_000913.3	3748577	3749239	+	3520	sgbU	3-keto-L-gulonate 6-phosphate decarboxylase	ref|NP_418038.1|
NC_000913.3	3749232	3750092	+	3521	sgbE	putative L-xylulose 5-phosphate 3-epimerase	ref|NP_418039.2|
NC_000913.3	3750086	3750781	+	3522	ysaC	L-ribulose-5-phosphate 4-epimerase	ref|NP_418040.1|
NC_000913.3	3750813	3750914	-	3523	ysaD	NA	NA
NC_000913.3	3750918	3751109	+	3524	yiaT	NA	NA
NC_000913.3	3751128	3751868	-	3525	yiaU	putative outer membrane protein	ref|NP_418041.1|
NC_000913.3	3751992	3752966	+	3526	yiaV	putative DNA-binding transcriptional regulator	ref|NP_418042.1|
NC_000913.3	3752963	3754099	-	3527	yiaW	signal-anchored membrane fusion protein (MFP) component of efflux pump	ref|NP_418043.1|
NC_000913.3	3754105	3754428	-	3528	aldB	DUF3302 family inner membrane protein	ref|NP_418044.1|
NC_000913.3	3754973	3756511	-	3529	yiaY	aldehyde dehydrogenase B	ref|NP_418045.4|
NC_000913.3	3756676	3757827	-	3530	selB	L-threonine dehydrogenase	ref|YP_026233.1|
NC_000913.3	3758017	3759861	-	3531	selA	selenocysteinyl-tRNA-specific translation factor	ref|NP_418047.1|
NC_000913.3	3759858	3761249	-	3532	yibF	selenocysteine synthase	ref|NP_418048.1|
NC_000913.3	3761347	3761955	-	3533	rhsA	glutathione S-transferase homolog	ref|NP_418049.1|
NC_000913.3	3762183	3766316	+	3534	yibA	Rhs protein with putative toxin 55 domain; putative polysaccharide synthesis/export protein; putative neighboring cell growth inhibitor	ref|NP_418050.1|
NC_000913.3	3766337	3767179	+	3535	rhsJ	putative immunity protein for polymorphic toxin RhsA; HEAT-domain protein; lethality reduction protein	ref|NP_418051.1|
NC_000913.3	3767221	3768165	+	3536	yibG	NA	NA
NC_000913.3	3768177	3768638	+	3537	yibS	TPR-like repeat protein	ref|NP_418053.1|
NC_000913.3	3768639	3768890	+	3538	yibW	NA	NA
NC_000913.3	3768892	3768975	+	3539	yibV	NA	NA
NC_000913.3	3769345	3769671	+	3540	yibU	NA	NA
NC_000913.3	3769948	3770034	+	3541	yibH	NA	NA
NC_000913.3	3770243	3771379	-	3542	yibI	putative membrane fusion protein (MFP) component of efflux pump	ref|NP_418054.1|
NC_000913.3	3771382	3771744	-	3543	mtlA	DUF3302 family inner membrane protein	ref|NP_418055.1|
NC_000913.3	3772281	3774194	+	3544	mtlD	mannitol-specific PTS enzyme: IIA, IIB and IIC components	ref|NP_418056.1|
NC_000913.3	3774424	3775572	+	3545	mtlR	mannitol-1-phosphate dehydrogenase, NAD-dependent	ref|NP_418057.1|
NC_000913.3	3775572	3776159	+	3546	yibT	mannitol operon repressor	ref|NP_418058.1|
NC_000913.3	3776171	3776380	-	3547	yibL	uncharacterized protein	ref|YP_588470.1|
NC_000913.3	3776665	3777027	+	3548	lldP	ribosome-associated DUF2810 family protein	ref|NP_418059.1|
NC_000913.3	3777399	3779054	+	3549	lldR	L-lactate permease	ref|NP_418060.1|
NC_000913.3	3779054	3779830	+	3550	lldD	dual role activator/repressor for lldPRD operon	ref|NP_418061.1|
NC_000913.3	3779827	3781017	+	3551	trmL	L-lactate dehydrogenase, FMN-linked	ref|NP_418062.1|
NC_000913.3	3781215	3781688	+	3552	cysE	tRNA Leu mC34,mU34 2'-O-methyltransferase, SAM-dependent	ref|NP_418063.1|
NC_000913.3	3781741	3782562	-	3553	gpsA	serine acetyltransferase	ref|NP_418064.1|
NC_000913.3	3782642	3783661	-	3554	secB	glycerol-3-phosphate dehydrogenase (NAD+)	ref|NP_418065.1|
NC_000913.3	3783661	3784128	-	3555	grxC	protein export chaperone	ref|NP_418066.1|
NC_000913.3	3784191	3784442	-	3556	yibN	glutaredoxin 3	ref|NP_418067.1|
NC_000913.3	3784584	3785015	-	3557	gpmM	putative rhodanese-related sulfurtransferase	ref|NP_418068.1|
NC_000913.3	3785260	3786804	+	3558	envC	phosphoglycero mutase III, cofactor-independent	ref|NP_418069.1|
NC_000913.3	3786838	3788097	+	3559	yibQ	activator of AmiB,C murein hydrolases, septal ring factor	ref|NP_418070.6|
NC_000913.3	3788101	3789060	+	3560	waaH	putative polysaccharide deacetylase	ref|NP_418071.4|
NC_000913.3	3789047	3790081	-	3561	tdh	LPS(HepIII)-glucuronic acid glycosyltransferase	ref|NP_418072.1|
NC_000913.3	3790320	3791345	-	3562	kbl	L-threonine 3-dehydrogenase, NAD(P)-binding	ref|NP_418073.1|
NC_000913.3	3791355	3792551	-	3563	yibB	glycine C-acetyltransferase	ref|NP_418074.1|
NC_000913.3	3792826	3793683	-	3564	hldD	YibB family protein, function unknown	ref|NP_418075.2|
NC_000913.3	3793987	3794919	+	3565	waaF	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding	ref|NP_418076.1|
NC_000913.3	3794929	3795975	+	3566	waaC	ADP-heptose:LPS heptosyltransferase II	ref|NP_418077.1|
NC_000913.3	3795979	3796938	+	3567	waaL	ADP-heptose:LPS heptosyl transferase I	ref|NP_418078.1|
NC_000913.3	3796948	3798207	+	3568	waaU	O-antigen ligase	ref|NP_418079.1|
NC_000913.3	3798239	3799312	-	3569	waaZ	lipopolysaccharide core biosynthesis	ref|NP_418080.1|
NC_000913.3	3799345	3800196	-	3570	waaY	lipopolysaccharide KdoIII transferase; lipopolysaccharide core biosynthesis protein	ref|NP_418081.1|
NC_000913.3	3800267	3800965	-	3571	waaR	lipopolysaccharide core biosynthesis protein	ref|NP_418082.1|
NC_000913.3	3800983	3801999	-	3572	waaO	lipopolysaccharide 1,2-glucosyltransferase; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase	ref|NP_418083.1|
NC_000913.3	3802039	3803058	-	3573	waaB	UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase	ref|NP_418084.1|
NC_000913.3	3803058	3804137	-	3574	waaS	lipopolysaccharide 1,6-galactosyltransferase; UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase	ref|NP_418085.2|
NC_000913.3	3804181	3805116	-	3575	waaP	lipopolysaccharide rhamnose:KdoIII transferase; lipopolysaccharide core biosynthesis protein	ref|NP_418086.1|
NC_000913.3	3805153	3805950	-	3576	waaG	kinase that phosphorylates core heptose of lipopolysaccharide	ref|NP_418087.1|
NC_000913.3	3805943	3807067	-	3577	waaQ	UDP-glucose:(heptosyl)lipopolysaccharide alpha-1,3-glucosyltransferase; lipopolysaccharide core biosynthesis protein; lipopolysaccharide glucosyltransferase I	ref|NP_418088.1|
NC_000913.3	3807064	3808098	-	3578	waaA	lipopolysaccharide core biosynthesis protein	ref|NP_418089.1|
NC_000913.3	3808540	3809817	+	3579	coaD	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	ref|NP_418090.1|
NC_000913.3	3809825	3810304	+	3580	mutM	pantetheine-phosphate adenylyltransferase	ref|NP_418091.1|
NC_000913.3	3810343	3811152	-	3581	rpmG	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	ref|NP_418092.1|
NC_000913.3	3811250	3811417	-	3582	rpmB	50S ribosomal subunit protein L33	ref|NP_418093.1|
NC_000913.3	3811438	3811674	-	3583	yicR	50S ribosomal subunit protein L28	ref|NP_418094.1|
NC_000913.3	3811891	3812559	-	3584	dfp	UPF0758 family protein	ref|NP_418095.4|
NC_000913.3	3812731	3813951	+	3585	dut	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding	ref|NP_418096.4|
NC_000913.3	3813932	3814387	+	3586	slmA	deoxyuridinetriphosphatase	ref|NP_418097.1|
NC_000913.3	3814494	3815090	+	3587	pyrE	nucleoid occlusion factor, anti-FtsZ division inhibitor	ref|NP_418098.4|
NC_000913.3	3815127	3815768	-	3588	rph	orotate phosphoribosyltransferase	ref|NP_418099.1|
NC_000913.3	3815881	3816549	-	3589	yicC	NA	NA
NC_000913.3	3816676	3817539	+	3590	dinD	UPF0701 family protein	ref|NP_418101.1|
NC_000913.3	3817760	3818584	+	3591	yicG	DNA damage-inducible protein	ref|NP_418102.2|
NC_000913.3	3818874	3819491	+	3592	ligB	UPF0126 family inner membrane protein	ref|NP_418103.4|
NC_000913.3	3819488	3821170	-	3593	gmk	DNA ligase, NAD(+)-dependent	ref|NP_418104.2|
NC_000913.3	3821428	3822051	+	3594	rpoZ	guanylate kinase	ref|NP_418105.1|
NC_000913.3	3822106	3822381	+	3595	spoT	RNA polymerase, omega subunit	ref|NP_418106.1|
NC_000913.3	3822400	3824508	+	3596	trmH	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	ref|NP_418107.1|
NC_000913.3	3824515	3825204	+	3597	recG	tRNA mG18-2'-O-methyltransferase, SAM-dependent	ref|NP_418108.1|
NC_000913.3	3825210	3827291	+	3598	gltS	ATP-dependent DNA helicase	ref|NP_418109.1|
NC_000913.3	3827460	3828665	-	3599	xanP	glutamate transporter	ref|NP_418110.1|
NC_000913.3	3828945	3830336	+	3600	yicH	xanthine permease	ref|NP_418111.1|
NC_000913.3	3830457	3832166	+	3601	yicI	putative inner membrane-anchored periplasmic AsmA family protein	ref|NP_418112.1|
NC_000913.3	3832219	3834537	-	3602	yicJ	putative alpha-glucosidase	ref|NP_418113.1|
NC_000913.3	3834547	3835929	-	3603	yicT	tRNA-Sec	ref|NP_418114.4|
NC_000913.3	3836425	3836556	+	3604	setC	NA	NA
NC_000913.3	3836953	3838137	+	3605	yicL	putative arabinose efflux transporter	ref|NP_418115.1|
NC_000913.3	3838248	3839171	+	3606	nlpA	EamA family inner membrane putative transporter	ref|NP_418116.1|
NC_000913.3	3839175	3839993	-	3607	yicS	cytoplasmic membrane lipoprotein-28	ref|NP_418117.1|
NC_000913.3	3840215	3840508	+	3608	nepI	putative periplasmic protein	ref|YP_588471.1|
NC_000913.3	3840549	3841739	-	3609	yicN	putative transporter	ref|NP_418118.2|
NC_000913.3	3841950	3842402	-	3610	adeQ	DUF1198 family protein	ref|NP_418119.2|
NC_000913.3	3842455	3843789	-	3611	adeD	adenine permease, high affinity; adenine:H+ symporter	ref|NP_418120.2|
NC_000913.3	3843964	3845730	+	3612	uhpT	cryptic adenine deaminase	ref|NP_418121.1|
NC_000913.3	3845776	3847167	-	3613	uhpC	hexose phosphate transporter	ref|NP_418122.1|
NC_000913.3	3847305	3848624	-	3614	uhpB	membrane protein regulates uhpT expression	ref|NP_418123.2|
NC_000913.3	3848634	3850136	-	3615	uhpA	sensory histidine kinase in two-component regulatory sytem with UhpA	ref|NP_418124.4|
NC_000913.3	3850136	3850726	-	3616	ilvN	response regulator in two-component regulatory system wtih UhpB	ref|NP_418125.1|
NC_000913.3	3850802	3851092	-	3617	ilvB	acetolactate synthase 1 small subunit	ref|NP_418126.1|
NC_000913.3	3851096	3852784	-	3618	ivbL	acetolactate synthase 2 large subunit	ref|NP_418127.1|
NC_000913.3	3852890	3852988	-	3619	tisB	sRNA antisense regulators IstR-1 and IstR-2, affectr tisB, Hfq-dependent	ref|NP_418128.1|
NC_000913.3	3853553	3853642	+	3620	emrD	toxic membrane persister formation peptide, LexA-regulated	ref|YP_001165331.1|
NC_000913.3	3853922	3855106	+	3621	yidF	multidrug efflux system protein	ref|NP_418129.2|
NC_000913.3	3855114	3855611	-	3622	yidG	putative Cys-type oxidative YidJ-maturating enzyme	ref|NP_418130.1|
NC_000913.3	3855608	3855970	-	3623	yidH	inner membrane protein	ref|NP_418131.1|
NC_000913.3	3855960	3856307	-	3624	yidI	DUF202 family inner membrane protein	ref|NP_418132.1|
NC_000913.3	3856415	3856864	+	3625	yidJ	inner membrane protein	ref|NP_418133.1|
NC_000913.3	3856911	3858404	-	3626	yidK	sulfatase/phosphatase superfamily protein	ref|NP_418134.1|
NC_000913.3	3858401	3860116	-	3627	yidL	putative transporter	ref|NP_418135.1|
NC_000913.3	3860283	3861176	+	3628	glvG	AraC family putative transcriptional regulator	ref|NP_418136.2|
NC_000913.3	3861173	3861987	-	3629	glvC	NA	NA
NC_000913.3	3861987	3863603	-	3630	yidP	NA	NA
NC_000913.3	3863899	3864615	+	3631	yidE	UTRA domain-containing GntR family putative transcriptional regulator	ref|NP_418139.1|
NC_000913.3	3864612	3866273	-	3632	ibpB	putative transporter	ref|NP_418140.4|
NC_000913.3	3866469	3866897	-	3633	ibpA	heat shock chaperone	ref|NP_418141.2|
NC_000913.3	3867009	3867422	-	3634	yidQ	heat shock chaperone	ref|NP_418142.1|
NC_000913.3	3867728	3868060	+	3635	yidR	DUF1375 family outer membrane protein	ref|NP_418143.2|
NC_000913.3	3868062	3869309	-	3636	cbrA	DUF3748 family protein	ref|NP_418144.3|
NC_000913.3	3869377	3870441	+	3637	dgoT	colicin M resistance protein; FAD-binding protein, putative oxidoreductase	ref|NP_418145.2|
NC_000913.3	3870438	3871730	-	3638	dgoD	D-galactonate transporter	ref|NP_418146.4|
NC_000913.3	3871850	3872998	-	3639	dgoA	D-galactonate dehydratase	ref|YP_026237.1|
NC_000913.3	3872995	3873612	-	3640	dgoK	2-oxo-3-deoxygalactonate 6-phosphate aldolase	ref|YP_026238.1|
NC_000913.3	3873596	3874474	-	3641	dgoR	2-oxo-3-deoxygalactonate kinase	ref|NP_418148.1|
NC_000913.3	3874471	3875160	-	3642	yidX	D-galactonate catabolism operon transcriptional repressor	ref|YP_026239.1|
NC_000913.3	3875438	3876094	+	3643	yidA	putative lipoprotein	ref|YP_026240.1|
NC_000913.3	3876140	3876952	-	3644	yidB	sugar phosphate phosphatase	ref|NP_418152.1|
NC_000913.3	3877067	3877465	-	3645	gyrB	DUF937 family protein	ref|NP_418153.4|
NC_000913.3	3877705	3880119	-	3646	recF	DNA gyrase, subunit B	ref|YP_026241.1|
NC_000913.3	3880148	3881221	-	3647	dnaN	gap repair protein	ref|NP_418155.1|
NC_000913.3	3881221	3882321	-	3648	dnaA	DNA polymerase III, beta subunit	ref|NP_418156.1|
NC_000913.3	3882326	3883729	-	3649	rpmH	chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator	ref|NP_418157.1|
NC_000913.3	3884336	3884476	+	3650	rnpA	50S ribosomal subunit protein L34	ref|NP_418158.1|
NC_000913.3	3884493	3884852	+	3651	yidD	protein C5 component of RNase P	ref|NP_418159.1|
NC_000913.3	3884816	3885073	+	3652	yidC	membrane protein insertion efficiency factor, UPF0161 family inner membrane protein	ref|YP_588472.1|
NC_000913.3	3885076	3886722	+	3653	mnmE	membrane protein insertase	ref|NP_418161.1|
NC_000913.3	3886828	3888192	+	3654	tnaC	tRNA U34 5-methylaminomethyl-2-thiouridine modification GTPase	ref|NP_418162.1|
NC_000913.3	3888435	3888509	+	3655	tnaA	tryptophanase leader peptide	ref|NP_418163.1|
NC_000913.3	3888730	3890145	+	3656	tnaB	tryptophanase/L-cysteine desulfhydrase, PLP-dependent	ref|NP_418164.4|
NC_000913.3	3890236	3891483	+	3657	mdtL	tryptophan transporter of low affinity	ref|NP_418165.1|
NC_000913.3	3891615	3892790	+	3658	yidZ	multidrug efflux system protein	ref|NP_418166.1|
NC_000913.3	3892765	3893724	+	3659	yieE	putative DNA-binding transcriptional regulator	ref|NP_418167.1|
NC_000913.3	3893881	3894630	+	3660	chrR	phosphopantetheinyl transferase superfamily protein	ref|NP_418168.2|
NC_000913.3	3894652	3895218	+	3661	adeP	chromate reductase, Class I, flavoprotein	ref|NP_418169.1|
NC_000913.3	3895272	3896609	-	3662	yieH	adenine permease, high affinity; adenine:H+ symporter	ref|NP_418170.1|
NC_000913.3	3896774	3897439	+	3663	cbrB	phosphoenolpyruvate and 6-phosphogluconate phosphatase	ref|NP_418171.1|
NC_000913.3	3897506	3897973	+	3664	cbrC	PRK09823 family inner membrane protein, creBC regulon	ref|NP_418172.1|
NC_000913.3	3898022	3898609	+	3665	yieK	UPF0167 family protein	ref|NP_418173.1|
NC_000913.3	3898671	3899393	-	3666	yieL	putative 6-phosphogluconolactonase	ref|YP_026242.1|
NC_000913.3	3899408	3900577	-	3667	bglH	putative xylanase	ref|NP_418175.3|
NC_000913.3	3900604	3902220	-	3668	bglB	carbohydrate-specific outer membrane porin, cryptic	ref|NP_418176.1|
NC_000913.3	3902289	3903701	-	3669	bglF	cryptic phospho-beta-glucosidase B	ref|NP_418177.1|
NC_000913.3	3903720	3905597	-	3670	bglG	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component	ref|NP_418178.1|
NC_000913.3	3905731	3906567	-	3671	phoU	transcriptional antiterminator of the bgl operon	ref|NP_418179.1|
NC_000913.3	3906853	3907578	-	3672	pstB	negative regulator of PhoR/PhoB two-component regulator	ref|NP_418180.1|
NC_000913.3	3907593	3908366	-	3673	pstA	phosphate ABC transporter ATPase	ref|NP_418181.1|
NC_000913.3	3908549	3909439	-	3674	pstC	phosphate ABC transporter permease	ref|NP_418182.1|
NC_000913.3	3909439	3910398	-	3675	pstS	phosphate ABC transporter permease	ref|NP_418183.1|
NC_000913.3	3910485	3911525	-	3676	glmS	phosphate ABC transporter periplasmic binding protein	ref|NP_418184.1|
NC_000913.3	3911839	3913668	-	3677	glmU	L-glutamine:D-fructose-6-phosphate aminotransferase	ref|NP_418185.1|
NC_000913.3	3913830	3915200	-	3678	atpC	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	ref|NP_418186.1|
NC_000913.3	3915553	3915972	-	3679	atpD	F1 sector of membrane-bound ATP synthase, epsilon subunit	ref|NP_418187.1|
NC_000913.3	3915993	3917375	-	3680	atpG	F1 sector of membrane-bound ATP synthase, beta subunit	ref|NP_418188.1|
NC_000913.3	3917402	3918265	-	3681	atpA	F1 sector of membrane-bound ATP synthase, gamma subunit	ref|NP_418189.1|
NC_000913.3	3918316	3919857	-	3682	atpH	F1 sector of membrane-bound ATP synthase, alpha subunit	ref|NP_418190.1|
